The transmembrane serine protease inhibitors are potential antiviral drugs for 2019-nCoV targeting the insertion sequence-induced viral infectivity enhancement	2020-02-11	https://doi.org/10.1101/2020.02.08.926006
Direct RNA sequencing and early evolution of SARS-CoV-2	2020-03-07	https://doi.org/10.1101/2020.03.05.976167
The transcriptomic profiling of COVID-19 compared to SARS, MERS, Ebola, and H1N1	2020-05-08	https://doi.org/10.1101/2020.05.06.080960
Comparative transcriptome analysis reveals the intensive early-stage responses of host cells to SARS-CoV-2 infection	2020-05-01	https://doi.org/10.1101/2020.04.30.071274
The landscape of host genetic factors involved in infection to common viruses and SARS-CoV-2	2020-05-07	https://doi.org/10.1101/2020.05.01.20088054
Cumulative effect of aging and SARS-CoV2 infection on poor prognosis in the elderly: Insights from transcriptomic analysis of lung and blood	2020-06-16	https://doi.org/10.1101/2020.06.15.151761
Pathogenicity, tissue tropism and potential vertical transmission of SARSr-CoV-2 in Malayan pangolins	2020-06-22	https://doi.org/10.1101/2020.06.22.164442
Cytotoxic lymphocytes are dysregulated in multisystem inflammatory syndrome in children	2020-09-02	https://doi.org/10.1101/2020.08.29.20182899
Longitudinal peripheral blood transcriptional analysis of COVID-19 patients captures disease progression and reveals potential biomarkers	2020-05-08	https://doi.org/10.1101/2020.05.05.20091355
The digestive system is a potential route of 2019-nCov infection: a bioinformatics analysis based on single-cell transcriptomes	2020-01-31	https://doi.org/10.1101/2020.01.30.927806
SARS-CoV-2 Whole Genome Amplification and Sequencing for Effective Population-Based Surveillance and Control of Viral Transmission	2020-06-08	https://doi.org/10.1101/2020.06.06.138339
Single-cell analysis of human trophoblast stem cell specification reveals activation of fetal cytotrophoblast expression programs including coronavirus associated host factors and human endogenous retroviruses	2020-08-29	https://doi.org/10.1101/2020.08.29.273425
Secondary analysis of transcriptomes of SARS-CoV-2 infection models to characterize COVID-19	2020-08-28	https://doi.org/10.1101/2020.08.27.270835
Single-cell screening of SARS-CoV-2 target cells in pets, livestock, poultry and wildlife	2020-06-14	https://doi.org/10.1101/2020.06.13.149690
Swarm Learning as a privacy-preserving machine learning approach for disease classification	2020-06-26	https://doi.org/10.1101/2020.06.25.171009
Comparative in vitro transcriptomic analyses of COVID-19 candidate therapy hydroxychloroquine suggest limited immunomodulatory evidence of SARS-CoV-2 host response genes.	2020-04-14	https://doi.org/10.1101/2020.04.13.039263
Single-cell transcriptional atlas of the Chinese horseshoe bat (Rhinolophus sinicus) provides insight into the cellular mechanisms which enable bats to be viral reservoirs	2020-06-30	https://doi.org/10.1101/2020.06.30.175778
Structure of the full SARS-CoV-2 RNA genome in infected cells	2020-06-30	https://doi.org/10.1101/2020.06.29.178343
Whole genome identification of potential G-quadruplexes and analysis of the G-quadruplex binding domain for SARS-CoV-2	2020-06-05	https://doi.org/10.1101/2020.06.05.135749
