A database resource for Genome-wide dynamics analysis of Coronaviruses on a historical and global scale	2020-02-07	https://doi.org/10.1101/2020.02.05.920009
COVID-19-related coagulopathy, is transferrin a missing link?	2020-06-16	https://doi.org/10.1101/2020.06.11.147025
A SARS-CoV-2 BioID-based virus-host membrane protein interactome and virus peptide compendium: new proteomics resources for COVID-19 research	2020-08-28	https://doi.org/10.1101/2020.08.28.269175
Virus-Receptor Interactions of Glycosylated SARS-CoV-2 Spike and Human ACE2 Receptor	2020-06-26	https://doi.org/10.1101/2020.06.25.172403
Virus-host interactome and proteomic survey of PMBCs from COVID-19 patients reveal potential virulence factors influencing SARS-CoV-2 pathogenesis	2020-04-02	https://doi.org/10.1101/2020.03.31.019216
Growth factor receptor signaling inhibition prevents SARS-CoV-2 replication	2020-05-14	https://doi.org/10.1101/2020.05.14.095661
Clinical classifiers of COVID-19 infection from novel ultra-high-throughput proteomics	2020-05-03	https://doi.org/10.1101/2020.04.27.20081810
The IMEx Coronavirus interactome: an evolving map of Coronaviridae-Host molecular interactions	2020-06-16	https://doi.org/10.1101/2020.06.16.153817
A systems approach to inflammation identifies therapeutic targets in SARS-CoV-2 infection	2020-05-24	https://doi.org/10.1101/2020.05.23.20110916
Comparative multiplexed interactomics of SARS-CoV-2 and homologous coronavirus non-structural proteins identifies unique and shared host-cell dependencies	2020-07-15	https://doi.org/10.1101/2020.07.13.201517
A distinct innate immune signature marks progression from mild to severe COVID-19	2020-08-04	https://doi.org/10.1101/2020.08.04.236315
Discovery of drugs to treat cytokine storm-induced cardiac dysfunction using human cardiac organoids	2020-08-24	https://doi.org/10.1101/2020.08.23.258574
Versatile, Multivalent Nanobody Cocktails for Highly Efficient SARS-CoV-2 Neutralization	2020-08-24	https://doi.org/10.1101/2020.08.24.264333
Evidence for structural protein damage and membrane lipid remodeling in red blood cells from COVID-19 patients	2020-06-30	https://doi.org/10.1101/2020.06.29.20142703
SARS-CoV-2 proteome microarray for mapping COVID-19 antibody interactions at amino acid resolution	2020-03-28	https://doi.org/10.1101/2020.03.26.994756
Re-analysis of SARS-CoV-2 infected host cell proteomics time-course data by impact pathway analysis and network analysis. A potential link with inflammatory response.	2020-03-28	https://doi.org/10.1101/2020.03.26.009605
In silico approach to accelerate the development of mass spectrometry-based proteomics methods for detection of viral proteins: Application to COVID-19	2020-03-10	https://doi.org/10.1101/2020.03.08.980383
Assignment of coronavirus spike protein site-specific glycosylation using GlycReSoft	2020-05-31	https://doi.org/10.1101/2020.05.31.125302
Suppressive myeloid cells are a hallmark of severe COVID-19	2020-06-05	https://doi.org/10.1101/2020.06.03.20119818
